Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
14,Denver Nuggets,82,241.8,40.9,88.8,.460,1.7,5.5,.304,39.2,83.3,.471,21.8,28.8,.756,15.4,31.3,46.7,21.2,7.9,6.9,17.2,24.9,105.2
15,Chicago Bulls*,82,241.8,42.4,87.9,.482,3.0,8.2,.365,39.4,79.7,.494,17.5,23.8,.733,15.7,27.8,43.6,26.0,9.5,5.0,13.5,22.0,105.2
16,Philadelphia 76ers,82,243.0,39.3,86.3,.456,4.0,11.5,.351,35.3,74.8,.472,21.7,27.5,.786,12.6,29.6,42.2,24.9,8.2,6.9,16.6,19.6,104.3
17,Los Angeles Lakers*,82,241.8,40.4,85.3,.473,2.3,7.6,.299,38.1,77.7,.490,21.2,28.1,.756,13.5,27.9,41.4,24.5,9.5,5.3,15.4,21.7,104.2
18,Houston Rockets*,82,241.2,40.0,82.2,.486,4.7,13.1,.361,35.3,69.2,.510,19.3,25.5,.758,12.0,30.9,42.9,25.8,8.3,6.6,15.8,20.7,104.0
19,Boston Celtics*,82,241.2,42.1,86.5,.487,1.3,4.7,.287,40.8,81.8,.498,18.1,23.3,.777,13.1,29.7,42.8,24.4,7.9,5.6,14.3,22.7,103.7
20,Miami Heat,82,244.0,38.1,83.5,.456,4.1,11.5,.354,34.1,72.1,.473,23.3,30.2,.771,13.8,29.1,42.9,20.6,7.4,4.3,15.7,24.5,103.6
21,New Jersey Nets*,82,241.2,39.9,86.4,.462,1.9,6.0,.318,38.0,80.4,.473,21.1,27.5,.767,15.7,30.6,46.3,22.8,8.5,6.4,16.5,23.1,102.8
22,Milwaukee Bucks,82,240.6,39.9,84.4,.472,3.8,11.4,.333,36.0,73.0,.494,18.8,25.4,.742,12.8,25.8,38.6,25.4,10.5,4.8,16.6,24.1,102.3
23,Washington Bullets,82,241.5,40.3,86.2,.467,2.1,7.0,.301,38.1,79.1,.482,19.2,25.7,.748,12.6,28.3,40.8,25.7,8.2,4.4,16.1,21.9,101.9
24,New York Knicks*,82,243.0,39.1,84.1,.465,2.4,7.4,.320,36.8,76.8,.479,20.9,28.2,.741,14.0,32.4,46.5,25.9,8.3,4.5,15.8,25.7,101.6
25,Detroit Pistons,82,241.2,39.8,87.9,.453,3.6,11.1,.322,36.3,76.9,.472,17.4,23.9,.729,15.8,28.2,44.0,23.7,7.1,3.0,14.0,21.3,100.6
26,Dallas Mavericks,82,240.6,38.6,88.7,.435,3.5,10.2,.338,35.1,78.5,.448,18.7,26.5,.705,15.0,27.6,42.7,20.5,7.9,4.3,17.8,28.1,99.3
27,Minnesota Timberwolves,82,242.1,37.1,79.6,.466,2.0,6.9,.292,35.1,72.7,.483,21.9,27.4,.798,11.5,26.9,38.3,24.4,7.9,5.5,17.3,24.7,98.1
,League Average,82,241.7,40.7,86.0,.473,3.0,9.0,.336,37.7,77.0,.489,20.9,27.7,.754,13.8,29.3,43.1,24.7,8.6,5.2,15.9,23.2,105.3
