Season,TeamID,E/W,Conference Finalist,W/L,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,MOV,Pace,eFG%,Attendance,Standings_Bucket
2016,17,0.0,0.0,0.6734693877551021,38.4,82.2,5.4,15.6,17.0,22.7,10.5,31.2,23.1,8.2,5.8,15.2,20.7,99.0,23.5,-4.18,94.2,0.499,621808,2.0
2016,3,0.0,0.0,0.3442622950819672,38.2,84.4,6.5,18.4,15.7,20.7,10.5,31.9,22.3,7.6,4.0,14.8,18.0,98.6,26.9,-7.35,95.2,0.4920000000000001,620142,2.0
2016,20,0.0,0.0,0.64,36.9,84.0,7.4,21.5,17.2,21.4,10.4,34.0,20.5,5.7,5.7,13.4,19.7,98.4,27.2,-2.73,93.4,0.483,812292,2.0
2016,29,1.0,0.0,0.9523809523809524,36.1,80.4,8.5,23.9,17.1,23.0,10.7,32.5,19.0,7.7,5.2,14.9,20.2,97.7,24.2,1.79,91.0,0.501,791489,2.0
2016,23,0.0,0.0,0.1388888888888889,36.2,84.0,9.3,27.5,15.7,22.6,9.5,31.8,21.5,8.3,6.0,16.4,21.7,97.4,23.3,-10.23,97.9,0.487,614650,2.0
2016,14,1.0,0.0,0.26153846153846155,35.1,84.8,7.8,24.6,19.3,24.7,10.7,32.3,18.0,7.2,4.1,13.7,20.3,97.3,26.5,-9.56,95.6,0.46,778877,2.0
2015,10,1.0,1.0,4.466666666666667,41.6,87.0,10.8,27.0,16.0,20.8,10.4,34.3,27.4,9.3,6.0,14.5,19.9,110.0,26.6,10.1,98.3,0.54,803436,0.0
2015,13,1.0,0.0,2.1538461538461537,39.4,83.3,10.1,26.9,17.9,25.2,9.6,33.1,24.8,7.8,5.0,12.3,21.3,106.7,28.8,6.59,94.7,0.5329999999999999,785892,0.0
2015,7,1.0,0.0,1.5625,39.7,85.8,8.9,25.4,16.9,22.5,10.5,31.8,22.5,8.1,4.5,13.0,20.0,105.2,29.9,2.9,95.2,0.515,827702,1.0
2015,28,0.0,0.0,1.4848484848484849,37.9,83.3,8.9,25.1,19.3,24.6,10.7,30.8,20.7,7.5,4.4,12.9,20.9,104.0,26.1,3.07,92.8,0.508,809824,0.0
2015,21,1.0,0.0,1.2162162162162162,38.8,86.8,7.7,22.7,18.6,24.6,12.8,34.7,20.5,7.3,5.5,14.7,22.3,104.0,25.4,2.18,95.7,0.4920000000000001,746323,2.0
2015,11,1.0,1.0,2.1538461538461537,37.0,83.3,11.4,32.7,18.6,26.0,11.7,32.0,22.2,9.5,5.0,16.7,22.0,103.9,27.6,3.44,96.5,0.512,747412,0.0
2015,27,1.0,0.0,2.0370370370370368,39.1,83.6,8.3,22.5,16.7,21.4,9.8,33.8,24.4,8.0,5.4,14.0,19.1,103.2,29.8,6.2,93.8,0.517,762855,1.0
2015,6,0.0,1.0,1.827586206896552,37.7,82.2,10.1,27.5,17.7,23.6,11.1,31.9,22.1,7.4,4.1,14.3,18.4,103.1,26.9,4.48,92.3,0.52,843042,0.0
