Season,TeamID,Team,E/W,Conference Finalist,G,W,L,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Attendance,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)","(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(0, 1, 0)","(0, 1, 1)","(0, 1, 2)","(0, 2, 0)","(0, 2, 1)","(0, 2, 2)","(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(1, 2, 0)","(1, 2, 1)","(1, 2, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)",Standings_Bucket,Standings_Bucket_Next
2015,2,Boston Celtics,0,0,82,40,42,0.9523809520000001,242.4,38.9,87.9,0.44299999999999995,8.0,24.6,0.327,30.9,63.3,0.488,15.4,20.5,0.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4,25.0,41,41,0.16,-0.56,-0.4,104.7,104.5,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.17600000000000002,0.489,12.5,75.0,0.17600000000000002,721350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2016,2,Boston Celtics,0,0,82,48,34,1.411764706,241.2,39.2,89.2,0.439,8.7,26.1,0.335,30.5,63.1,0.483,18.5,23.5,0.7879999999999999,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7,25.2,50,32,3.21,-0.37,2.84,106.8,103.6,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.20800000000000002,0.488,12.1,74.6,0.20800000000000002,749076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,2,Boston Celtics,0,1,82,53,29,1.827586207,240.9,38.6,85.1,0.45399999999999996,12.0,33.4,0.359,26.6,51.7,0.515,18.7,23.2,0.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0,25.9,48,34,2.63,-0.39,2.25,111.2,108.4,96.8,0.273,0.39299999999999996,0.5670000000000001,0.525,12.2,21.2,0.22,0.525,12.2,75.3,0.22,760690,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,3,New Jersey Nets,0,0,82,24,58,0.413793103,242.1,41.1,86.4,0.47600000000000003,1.8,5.5,0.32299999999999995,39.4,80.9,0.48700000000000004,24.4,31.8,0.767,14.3,29.4,43.6,24.3,7.8,4.8,19.7,28.7,108.5,26.2,28,54,-5.05,0.63,-4.42,105.6,110.5,101.8,0.368,0.063,0.54,0.48700000000000004,16.4,33.2,0.282,0.48700000000000004,16.4,68.1,0.282,452704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
1988,3,New Jersey Nets,0,0,82,19,63,0.301587302,241.2,39.1,83.6,0.46799999999999997,1.7,5.5,0.301,37.5,78.1,0.48,20.5,28.1,0.7290000000000001,13.1,27.6,40.7,21.9,8.9,4.7,18.3,24.9,100.4,26.7,21,61,-8.11,1.13,-6.98,101.4,109.6,98.6,0.337,0.066,0.523,0.478,16.0,30.4,0.245,0.478,16.0,68.6,0.245,476054,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
1989,3,New Jersey Nets,0,0,82,26,56,0.46428571399999996,241.5,40.6,88.1,0.461,2.3,6.9,0.32899999999999996,38.4,81.2,0.473,20.2,27.6,0.731,14.7,29.5,44.2,21.9,9.4,5.3,17.7,24.0,103.7,26.8,25,57,-6.35,0.66,-5.69,103.0,109.3,100.1,0.313,0.079,0.517,0.474,15.0,32.7,0.22899999999999998,0.474,15.0,70.1,0.22899999999999998,378397,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1990,3,New Jersey Nets,0,0,82,17,65,0.26153846199999997,240.3,38.5,90.4,0.426,1.7,6.2,0.27699999999999997,36.8,84.3,0.43700000000000006,21.4,28.7,0.746,16.6,28.3,45.0,18.0,9.4,5.9,16.6,23.8,100.1,26.6,21,61,-7.87,0.05,-7.82,100.7,108.6,99.3,0.317,0.068,0.486,0.435,13.9,34.5,0.237,0.435,13.9,67.0,0.237,473760,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
1991,3,New Jersey Nets,0,0,82,26,56,0.46428571399999996,241.8,41.1,87.9,0.46799999999999997,1.7,5.4,0.308,39.5,82.5,0.479,23.5,30.4,0.773,15.7,30.8,46.5,21.2,10.1,6.6,17.7,23.1,107.5,26.2,29,53,-4.51,-0.02,-4.53,102.9,107.4,99.3,0.301,0.079,0.5,0.455,14.4,35.7,0.222,0.455,14.4,64.6,0.222,480786,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
1992,3,New Jersey Nets,0,0,82,40,42,0.9523809520000001,241.2,42.4,92.4,0.45799999999999996,2.7,8.2,0.33399999999999996,39.6,84.3,0.47,17.9,24.5,0.732,18.4,29.2,47.6,23.6,9.0,7.5,17.0,22.4,105.4,25.6,36,46,-1.7,0.15,-1.54,107.0,108.7,98.0,0.265,0.08800000000000001,0.51,0.473,14.1,39.1,0.19399999999999998,0.473,14.1,66.3,0.19399999999999998,517356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1993,3,New Jersey Nets,0,0,82,43,39,1.102564103,241.2,39.9,86.4,0.462,1.9,6.0,0.318,38.0,80.4,0.473,21.1,27.5,0.767,15.7,30.6,46.3,22.8,8.5,6.4,16.5,23.1,102.8,27.3,45,37,1.26,-0.05,1.2,106.5,105.2,96.0,0.319,0.069,0.522,0.473,14.4,35.5,0.244,0.473,14.4,69.5,0.244,620416,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
