Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conference Finalist,Standings_Bucket ,E/W
11,Atlanta Hawks,82,242.7,42.6,91.2,0.467,2.6,8.2,0.313,40,83,0.482,18.5,25.3,0.731,15.7,30.5,46.2,25.9,9.7,3.9,15.3,21.6,106.2,0,2,0
12,New Jersey Nets,82,241.2,42.4,92.4,0.458,2.7,8.2,0.334,39.6,84.3,0.47,17.9,24.5,0.732,18.4,29.2,47.6,23.6,9,7.5,17,22.4,105.4,0,1,0
13,Milwaukee Bucks,82,242.4,40.5,88,0.46,4.5,12.3,0.369,36,75.7,0.475,19.5,25.7,0.759,15.8,26.5,42.3,24.6,10.5,3.9,16.5,23.2,105,0,2,0
14,Miami Heat,82,241.8,39.7,86.1,0.461,3.1,9.2,0.342,36.6,77,0.475,22.4,28.4,0.79,14.5,28.9,43.3,21.3,8.2,4.5,16.8,22.2,105,0,1,0
15,Sacramento Kings,82,241.8,40.8,87.7,0.466,2.9,8.2,0.353,37.9,79.4,0.477,19.7,26.4,0.747,12.9,28.7,41.6,23.9,8.9,7.5,16.6,21.5,104.3,0,2,1
16,San Antonio Spurs,82,241.2,41.2,86.5,0.476,1.4,4.9,0.292,39.7,81.5,0.487,20.1,27.4,0.736,15,31.1,46.1,24.5,8.9,7.4,16,21.9,104,0,1,1
17,Los Angeles Clippers,82,241.8,40.8,86.3,0.473,1.8,6.1,0.289,39,80.2,0.487,19.5,27.1,0.72,13.8,29.2,43,25,10,6.1,15.5,22.8,102.9,0,1,1
18,Washington Bullets,82,242.1,41,89,0.461,1.8,6.5,0.272,39.2,82.5,0.476,18.5,23.9,0.778,13,28.6,41.6,24.5,8.7,5.1,15.3,22.6,102.4,0,2,0
19,Houston Rockets,82,242.4,39.9,84.1,0.475,4,11.7,0.343,35.9,72.4,0.496,18.2,24.6,0.738,13.1,29.7,42.8,25.1,8,7,16.8,21.6,102,0,2,1
20,Philadelphia 76ers,82,240.9,38.9,82.5,0.471,2.8,8.3,0.334,36.1,74.2,0.487,21.4,27.6,0.775,12.9,28.2,41.1,21.4,8.4,5.9,15.1,19.3,101.9,0,2,0
21,Orlando Magic,82,240.3,39.3,86.6,0.453,2.4,7.4,0.324,36.9,79.2,0.466,20.6,27.7,0.746,14.3,28.4,42.7,21.9,7.8,4.5,16.9,24.1,101.6,0,2,0
22,New York Knicks,82,242.1,40.4,84.7,0.477,2.5,7.5,0.325,37.9,77.2,0.492,18.3,25,0.734,14.5,30.4,44.8,26,7.7,4.7,15.1,23.2,101.6,0,0,0
23,Minnesota Timberwolves,82,241.5,41,89.5,0.458,1.5,4.8,0.32,39.5,84.7,0.466,16.8,22.6,0.743,14.2,26.4,40.7,24.7,7.5,6.4,14.1,22.8,100.5,0,2,1
24,Los Angeles Lakers,82,241.8,38.8,85.1,0.456,1.5,5.4,0.267,37.4,79.7,0.469,21.3,27.8,0.766,14.1,26.8,40.9,22,9.2,4.9,13.3,18.8,100.4,0,1,1
25,Denver Nuggets,82,241.2,39.8,90,0.442,1.5,5.1,0.301,38.2,84.9,0.45,18.6,25.2,0.738,16.5,28.7,45.1,18.9,9.4,5.6,17.6,24.2,99.7,0,2,1
26,Detroit Pistons,82,241.2,38.9,83.7,0.465,2,6.4,0.314,36.9,77.3,0.477,19.1,25.7,0.743,14.8,29.5,44.3,23.2,6.7,4.4,14.8,20.1,98.9,0,1,0
27,Dallas Mavericks,82,240.9,38,86.6,0.439,3.3,9.7,0.336,34.8,76.9,0.452,18.3,24.4,0.75,14.6,29.7,44.3,19.9,6.5,4.3,14.7,22.8,97.6,0,2,1
,League Average,82,241.8,41.3,87.3,0.472,2.5,7.6,0.331,38.7,79.7,0.486,20.2,26.7,0.759,14.4,29.3,43.7,24.5,8.6,5.5,15.6,22.2,105.3,,,
